	Iozone: Performance Test of File I/O
	        Version $Revision: 3.247 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, 
	             Jean-Marc Zucconi, Jeff Blomberg,
	             Erik Habbinga, Kris Strecker, Walter Wong.

	Run began: Wed May 17 13:17:46 2006

	Auto Mode
	Using maximum file size of 131072 kilobytes.
	Using Maximum Record Size 16384 KB

	Machine = Linux dino3.ccrl-nece.de 2.6.9-11.ELsmp #1 SMP Wed Jun 8 16:59:12 CDT 2005 x86_64 x86_64 x86_64 GNU
	Command line used: ./iozone -a -g 128m -q 16m -M -f /tmp/iozone.dat
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd  record  stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read rewrite    read   fwrite frewrite   fread  freread
           32768      32  319208  861908  1993550  2024471 1942632  929452 1931168 1822077 1916599   332477   808703 1965215  1997926
           32768      64  349330  862725  1895296  1912891 1890837  909061 1865860 1592686 1860128   337022   793624 1890733  1913903
           32768     128  350932  847745  1893990  1921878 1905994  921198 1915130 1590456 1914676   307606   778004 1903591  1933559
           32768     256  301822  825618  1864266  1895636 1870431  895526 1847550 1560391 1846607   280766   686759 1864671  1898516
           32768     512  286225  734442  1372361  1387014 1376925  777155 1376456  994624 1373568   280439   570184 1360003  1376746
           32768    1024  304156  680101  1091358  1101999 1097906  729344 1090587  733658 1097862   255534   541405 1096504  1104159
           32768    2048  276981  684348  1098046  1103787 1105794  730495 1104150  692213 1085360   261570   559388 1086218  1097090
           32768    4096  296610  697090  1093868  1098529 1094016  750528 1090518  641363 1083059   289641   598141 1100710  1106239
           32768    8192  292146  697564  1094051  1101593 1099706  733493 1097607  542426 1088825   322326   673740 1094452  1106239
           32768   16384  293483  690985  1098344  1101045 1093947  742111 1101478  416223 1093834   419210   879751 1095228  1102078
           65536       4  280328  709716  1470802  1532866 1223371  671909 1279002 1282451 1216086   274858   675977 1421234  1471463
           65536       8  291317  789523  1723720  1790656 1534980  790772 1561302 1597117 1506916   286459   741658 1690850  1745857
           65536      16  297048  822458  1872824  1928266 1769480  855973 1791975 1801228 1760009   290980   769111 1855968  1906335
           65536      32  300919  833876  1933733  1979706 1870212  881782 1893061 1772870 1864150   290304   772765 1919795  1968633
           65536      64  299590  820010  1869513  1896784 1856332  880968 1861171 1555788 1846915   290611   758774 1837851  1873412
           65536     128  303931  837294  1892840  1917371 1899760  889771 1854178 1584221 1883489   292622   763242 1870798  1903022
           65536     256  299573  826305  1901245  1924810 1896837  885560 1898986 1611999 1889730   281717   698365 1871167  1901521
           65536     512  313201  729311  1365813  1378339 1373834  788999 1372017 1048440 1369181   260092   566180 1357081  1372914
           65536    1024  282217  689902  1097243  1103928 1098857  734585 1101203  752991 1101221   252699   537847 1095664  1104003
           65536    2048  279339  689873  1096744  1101742 1102409  745700 1101685  730996 1101835   256387   542731 1099042  1107361
           65536    4096  278901  682787  1088350  1099600 1099209  731730 1097554  687747 1083165   263546   556544 1097330  1104305
           65536    8192  304574  680152  1094050  1101040 1096801  728785 1099983  638235 1085247   276972   587260 1090483  1097225
           65536   16384  280899  681141  1093072  1100978 1099965  721349 1100595  510321 1090868   308091   658447 1084888  1095939
          131072       4  279994  713022  1457346  1519536 1201854  663048 1269105 1293464 1224995   299128   681225 1376661  1426881
          131072       8  292268  801281  1740737  1808789 1543911  779031 1601232 1665039 1533652   284726   748055 1706135  1761344
          131072      16  297731  829768  1902514  1951399 1781140  850708 1823022 1850544 1783827   314832   770024 1897038  1945647
          131072      32  301011  845708  1978978  2020850 1903871  885196 1943281 1775445 1898080   290578   772953 1952973  1991552
          131072      64  299986  823808  1844813  1879868 1831684  884265 1843433 1488421 1831659   292709   766740 1868876  1893908
          131072     128  301733  835567  1895939  1915947 1893751  891239 1901573 1586538 1893778   291165   769450 1908080  1927697
          131072     256  300666  831586  1876397  1900751 1870962  893274 1876742 1507353 1864971   282668   697804 1893804  1911424
          131072     512  287482  733434  1355661  1367953 1364934  783585 1362296 1009582 1361277   257176   564836 1352889  1366172
          131072    1024  281065  693568  1098005  1104258 1102020  739504 1101916  766619 1102241   251631   538723 1093349  1102928
          131072    2048  281554  687800  1094381  1103978 1103141  738725 1101704  756194 1099910   271136   537940 1096358  1102751
          131072    4096  302614  690463  1091530  1100502 1100343  735236 1100150  730898 1098694   256624   545608 1095443  1101898
          131072    8192  280419  686794  1094044  1101602 1100152  730560 1101417  712933 1083777   281875   569551 1093058  1100731
          131072   16384  279599  689072  1092704  1100667 1099228  738662 1099727  661662 1085869   275963   594503 1094427  1101388

iozone test complete.
